SYMBOL,NAME OF COMPANY,SECTOR
COMPINFO,Compuage Infocom Limited,IT Distribution
COMPUSOFT,Compucom Software Limited,IT & Education Services
COMSYN,Commercial Syn Bags Limited,Packaging Materials
CONCOR,Container Corporation of India Limited,Logistics & Transportation
CONCORDBIO,Concord Biotech Limited,Pharmaceuticals / Biotechnology
CONFIPET,Confidence Petroleum India Limited,Oil & Gas (LPG)
CONSOFINVT,Consolidated Finvest & Holdings Limited,NBFC / Investment Company
CONTROLPR,Control Print Limited,Industrial Equipment (Coding/Marking)
CORALFINAC,Coral India Finance & Housing Limited,Finance & Real Estate
CORDSCABLE,Cords Cable Industries Limited,Electrical Cables
COROMANDEL,Coromandel International Limited,Fertilizers & Agri-solutions
CORONA,CORONA Remedies Limited,Pharmaceuticals
COSMOFIRST,COSMO FIRST LIMITED,Packaging & Specialty Films
COUNCODOS,Country Condo's Limited,Real Estate & Hospitality
CPCAP,CP Capital Limited,Financial Services
CPEDU,Career Point Edutech Limited,Education & EdTech
CPPLUS,Aditya Infotech Limited,Security & Video Surveillance
CRAFTSMAN,Craftsman Automation Limited,Precision Engineering
CRAMC,Canara Robeco Asset Management Company Limited,Asset Management / Mutual Funds
CREATIVEYE,Creative Eye Limited,Media & Entertainment
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Microfinance (NBFC-MFI)
CREST,Crest Ventures Limited,NBFC / Real Estate
CRISIL,CRISIL Limited,Ratings & Research
CRIZAC,Crizac Limited,Education Consultancy / Recruitment
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Durables
CROWN,Crown Lifters Limited,Crane Rental / Infrastructure
CSBBANK,CSB Bank Limited,Banking
CSLFINANCE,CSL Finance Limited,NBFC / Mortgage Finance
CTE,Cambridge Technology Enterprises Limited,IT Services / Cloud
CUB,City Union Bank Limited,Banking
CUBEXTUB,Cubex Tubings Limited,Metals (Copper)
CUMMINSIND,Cummins India Limited,Engineering / Diesel Engines
CUPID,Cupid Limited,Healthcare (Personal Protection)
CURAA,Cura Technologies Limited,IT / Healthcare Solutions
CYBERMEDIA,Cyber Media (India) Limited,Media & Publishing
CYBERTECH,Cybertech Systems And Software Limited,IT / GIS Services
CYIENT,Cyient Limited,Engineering & Tech Solutions
CYIENTDLM,Cyient DLM Limited,Electronics Manufacturing Services
DABUR,Dabur India Limited,FMCG (Health/Personal Care)
DALBHARAT,Dalmia Bharat Limited,Cement
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Sugar & Agri-business
DAMCAPITAL,Dam Capital Advisors Limited,Investment Banking
DAMODARIND,Damodar Industries Limited,Textiles (Yarn)
DANGEE,Dangee Dums Limited,Retail (Bakery & Confectionery)
DATAMATICS,Datamatics Global Services Limited,IT & BPO Services
DATAPATTNS,Data Patterns (India) Limited,Defense & Aerospace Electronics
DAVANGERE,Davangere Sugar Company Limited,Sugar
DBCORP,D.B.Corp Limited,Media & Publishing (Dainik Bhaskar)
DBEIL,Deepak Builders & Engineers India Limited,Construction & Engineering
DBL,Dilip Buildcon Limited,Infrastructure / Road Construction
DBOL,Dhampur Bio Organics Limited,Sugar & Bio-fuels
DBREALTY,Valor Estate Limited,Real Estate (formerly DB Realty)
DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services / Stock Broking
DCAL,Dishman Carbogen Amcis Limited,Pharmaceuticals & Biotechnology
DCBBANK,DCB Bank Limited,Banking & Financial Services
DCI,Dc Infotech And Communication Limited,IT Infrastructure & Networking
DCM,DCM  Limited,Textiles & Engineering
DCMFINSERV,DCM Financial Services Limited,NBFC / Financial Services
DCMNVL,DCM Nouvelle Limited,Textiles (Cotton Yarn)
DCMSHRIRAM,DCM Shriram Limited,"Diversified (Agri, Chemicals, Sugar)"
DCMSIL,DCM Shriram International Limited,Diversified / Chemicals
DCMSRIND,DCM Shriram Industries Limited,"Diversified (Sugar, Alcohol, Chemicals)"
DCW,DCW Limited,Specialty Chemicals
DCXINDIA,DCX Systems Limited,Aerospace & Defence
DDEVPLSTIK,Ddev Plastiks Industries Limited,Plastic Products / Polymers
DECCANCE,Deccan Cements Limited,Cement & Construction Materials
DEEDEV,DEE Development Engineers Limited,Engineering & Industrial Piping
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals & Fertilizers
DEEPAKNTR,Deepak Nitrite Limited,Specialty Chemicals
DEEPINDS,Deep Industries Limited,Oil & Gas Services
DELHIVERY,Delhivery Limited,Logistics & Supply Chain
DELPHIFX,DELPHI WORLD MONEY LIMITED,Financial Services (Forex)
DELTACORP,Delta Corp Limited,"Gaming, Hospitality & Casinos"
DELTAMAGNT,Delta Manufacturing Limited,Magnets & Engineering
DEN,Den Networks Limited,Media & Entertainment (Cable/Broadband)
DENORA,De Nora India Limited,Engineering (Electrochemistry)
DENTA,Denta Water and Infra Solutions Limited,Infrastructure / Water Management
DEVIT,Dev Information Technology Limited,IT Services & Consulting
DEVX,Dev Accelerator Limited,Real Estate (Co-working spaces)
DEVYANI,Devyani International Limited,Consumer Services (QSR/Fast Food)
DGCONTENT,Digicontent Limited,Media & Entertainment
DHAMPURSUG,Dhampur Sugar Mills Limited,Sugar & Allied Products
DHANBANK,Dhanlaxmi Bank Limited,Banking & Financial Services
DHANUKA,Dhanuka Agritech Limited,Agrochemicals
DHARAN,DHARAN INFRA-EPC LIMITED,Construction & Infrastructure
DHARMAJ,Dharmaj Crop Guard Limited,Agrochemicals
DHRUV,Dhruv Consultancy Services Limited,Engineering Consultancy
DHUNINV,Dhunseri Investments Limited,Investment Company
DIACABS,Diamond Power Infrastructure Limited,Power Equipment (Cables/Towers)
DIAMINESQ,Diamines & Chemicals Limited,Specialty Chemicals
DIAMONDYD,Prataap Snacks Limited,Consumer Goods (FMCG)
DICIND,DIC India Limited,Printing Ink & Chemicals
DIFFNKG,Diffusion Engineers Limited,Industrial Engineering
DIGIDRIVE,Digidrive Distributors Limited,Logistics / E-commerce Trading
DIGISPICE,DiGiSPICE Technologies Limited,IT / Digital Services
DIGITIDE,Digitide Solutions Limited,IT Services
DIGJAMLMTD,Digjam Limited,Textiles (Woolen)
DISHTV,Dish TV India Limited,Media & Entertainment (DTH)
DIVGIITTS,Divgi Torqtransfer Systems Limited,Auto Components
DIVISLAB,Divi's Laboratories Limited,Pharmaceuticals
DIXON,Dixon Technologies (India) Limited,Consumer Electronics (EMS)
DJML,DJ Mediaprint & Logistics Limited,Printing & Logistics
DLF,DLF Limited,Real Estate
DLINKINDIA,D-Link (India) Limited,IT Networking Equipment
DMART,Avenue Supermarts Limited,Retail (FMCG)
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Chemicals
DNAMEDIA,Diligent Media Corporation Limited,Media & Entertainment
DODLA,Dodla Dairy Limited,Dairy Products
DOLATALGO,Dolat Algotech Limited,Financial Services (Stock Broking)
DOLLAR,Dollar Industries Limited,Textiles (Apparel)
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Oil & Gas (Offshore Services)
DOMS,DOMS Industries Limited,Stationery & Art Products
DONEAR,Donear Industries Limited,Textiles
DPABHUSHAN,D. P. Abhushan Limited,"Gems, Jewellery & Watches"
DPSCLTD,DPSC Limited,Power Generation & Distribution
DPWIRES,D P Wires Limited,Steel Products (Wires)
DRCSYSTEMS,DRC Systems India Limited,IT Services
DREAMFOLKS,Dreamfolks Services Limited,Consumer Services (Airport Lounges)
DREDGECORP,Dredging Corporation of India Limited,Port Services / Infrastructure
DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals
DSFCL,DCM Shriram Fine Chemicals Limited,Specialty Chemicals
DSSL,Dynacons Systems & Solutions Limited,IT Infrastructure
DTIL,Dhunseri Tea & Industries Limited,Tea & Plantation
DUCON,Ducon Infratechnologies Limited,IT - Software / Infrastructure
DVL,Dhunseri Ventures Limited,Diversified / Chemicals
DWARKESH,Dwarikesh Sugar Industries Limited,Sugar
DYCL,Dynamic Cables Limited,Cables & Wires
DYNAMATECH,Dynamatic Technologies Limited,Aerospace & Defense / Engineering
DYNPRO,Dynemic Products Limited,Dyes & Pigments (Chemicals)
E2E,E2E Networks Limited,IT - Cloud Infrastructure
EASEMYTRIP,Easy Trip Planners Limited,Travel Support Services
EASTSILK,Eastern Silk Industries Limited,Textiles
EBGNG,GNG Electronics Limited,Consumer Electronics
ECLERX,eClerx Services Limited,IT - BPO / KPO
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,Transport & Logistics
EDELWEISS,Edelweiss Financial Services Limited,Financial Services
EFCIL,EFC (I) Limited,Real Estate / Co-working Spaces
EICHERMOT,Eicher Motors Limited,Automobiles (Commercial & Motorcycles)
EIDPARRY,EID Parry India Limited,Sugar & Fertilizers
EIEL,Enviro Infra Engineers Limited,Engineering / Infrastructure
EIFFL,Euro India Fresh Foods Limited,FMCG - Food Products
EIHAHOTELS,EIH Associated Hotels Limited,Hotels & Resorts
EIHOTEL,EIH Limited,Hotels & Resorts
EIMCOELECO,Eimco Elecon (India) Limited,Engineering - Heavy Machinery
EKC,Everest Kanto Cylinder Limited,Engineering - Industrial Gases Containers
ELDEHSG,Eldeco Housing And Industries Limited,Real Estate
ELECON,Elecon Engineering Company Limited,Engineering - Industrial Equipment
ELECTCAST,Electrosteel Castings Limited,Iron & Steel
ELECTHERM,Electrotherm (India) Limited,Engineering / Steel
ELGIEQUIP,Elgi Equipments Limited,Engineering - Industrial Machinery
ELGIRUBCO,Elgi Rubber Company Limited,Rubber Products
ELIN,Elin Electronics Limited,Consumer Electronics
ELLEN,Ellenbarrie Industrial Gases Limited,Industrial Gases
EMAMILTD,Emami Limited,FMCG - Personal Care
EMAMIPAP,Emami Paper Mills Limited,Paper
EMAMIREAL,Emami Realty Limited,Real Estate
EMBDL,Embassy Developments Limited,Real Estate
EMCURE,Emcure Pharmaceuticals Limited,Pharmaceuticals
EMIL,Electronics Mart India Limited,Retail - Consumer Electronics
EMKAY,Emkay Global Financial Services Limited,Financial Services / Stock Broking
EMMBI,Emmbi Industries Limited,Packaging - Polymers
EMMVEE,Emmvee Photovoltaic Power Limited,Renewable Energy (Solar)
EMSLIMITED,EMS Limited,Water & Sewerage Infrastructure
EMUDHRA,eMudhra Limited,IT - Software / Digital Security
ENDURANCE,Endurance Technologies Limited,Auto Components
ENERGYDEV,Energy Development Company Limited,Power Generation
ENGINERSIN,Engineers India Limited,Engineering - Consultancy
ENIL,Entertainment Network (India) Limited,Media & Entertainment (Radio)
ENRIN,Siemens Energy India Limited,Power / Heavy Electrical Equipment
ENTERO,Entero Healthcare Solutions Limited,Healthcare - Supply Chain
EPACK,EPACK Durable Limited,Consumer Durables (ACs)
EPACKPEB,EPack Prefab Technologies Limited,Infrastructure / Prefab Buildings
EPIGRAL,Epigral Limited,Chemicals
EPL,EPL Limited,Packaging
EQUIPPP,Equippp Social Impact Technologies Limited,IT - Software / Social Tech
EQUITASBNK,Equitas Small Finance Bank Limited,Banking
ERIS,Eris Lifesciences Limited,Pharmaceuticals
ESABINDIA,Esab India Limited,Engineering - Welding Equipment
ESAFSFB,ESAF Small Finance Bank Limited,Banking
ESCORTS,Escorts Kubota Limited,Automobiles - Tractors/Construction
ESSARSHPNG,Essar Shipping Limited,Shipping & Logistics
ESSENTIA,Integra Essentia Limited,FMCG / Commodities
ESTER,Ester Industries Limited,Chemicals / Polymers
ETERNAL,ETERNAL LIMITED,Apparel / Accessories
ETHOSLTD,Ethos Limited,Retail - Luxury Watches
EUREKAFORB,Eureka Forbes Limited,Consumer Durables (Appliances)
EUROBOND,Euro Panel Products Limited,Building Materials
EUROPRATIK,Euro Pratik Sales Limited,Building Materials / Interior Decor
EUROTEXIND,Eurotex Industries and Exports Limited,Textiles
EVEREADY,Eveready Industries India Limited,Consumer Durables (Batteries)
EVERESTIND,Everest Industries Limited,Building Materials
EXCEL,Excel Realty N Infra Limited,IT / Real Estate
EXCELINDUS,Excel Industries Limited,Chemicals / Agrochemicals
EXCELSOFT,Excelsoft Technologies Limited,IT - Software (EdTech & E-learning)
EXICOM,Exicom Tele-Systems Limited,Capital Goods / EV Charging & Power Systems
EXIDEIND,Exide Industries Limited,Auto Ancillary (Batteries)
EXPLEOSOL,Expleo Solutions Limited,IT - Software (Software Testing & Banking Solutions)
EXXARO,Exxaro Tiles Limited,Consumer Durables (Ceramics & Tiles)
FABTECH,Fabtech Technologies Limited,Engineering / Pharmaceutical Equipment
FACT,Fertilizers and Chemicals Travancore Limited,Chemicals / Fertilizers
FAIRCHEMOR,Fairchem Organics Limited,Specialty Chemicals (Oleo Chemicals)
FAZE3Q,Faze Three Limited,Textiles - Home Furnishings
FCL,Fineotex Chemical Limited,Specialty Chemicals (Textile Auxiliaries)
FCSSOFT,FCS Software Solutions Limited,IT - Software / Consulting
FDC,FDC Limited,Healthcare / Pharmaceuticals
FEDERALBNK,The Federal Bank  Limited,Financial Services (Banking)
FEDFINA,Fedbank Financial Services Limited,Financial Services (NBFC)
FEL,Future Enterprises Limited,Consumer Discretionary (Retail & Infrastructure)
FELDVR,Future Enterprises Limited,Consumer Discretionary (Retail & Infrastructure)
FIBERWEB,Fiberweb (India) Limited,Textiles (Non-woven Fabrics)
FIEMIND,Fiem Industries Limited,Auto Ancillary (Automotive Lighting)
FILATEX,Filatex India Limited,Textiles (Polyester/Synthetic Yarn)
FILATFASH,Filatex Fashions Limited,Textiles (Socks & Apparel)
FINCABLES,Finolex Cables Limited,Capital Goods
FINEORG,Fine Organic Industries Limited,Chemicals
FINKURVE,Finkurve Financial Services Limited,Financial Services
FINOPB,Fino Payments Bank Limited,Financial Services
FINPIPE,Finolex Industries Limited,Capital Goods
FIRSTCRY,Brainbees Solutions Limited,Consumer Services
FISCHER,Fischer Medical Ventures Limited,Healthcare
FIVESTAR,Five-Star Business Finance Limited,Financial Services
FLAIR,Flair Writing Industries Limited,Consumer Durables
FLEXITUFF,Flexituff Ventures International Limited,Commodities
FLFL,Future Lifestyle Fashions Limited,Consumer Services
FLUOROCHEM,Gujarat Fluorochemicals Limited,Chemicals
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Automobile & Auto Components
FMNL,Future Market Networks Limited,Realty
FOCUS,Focus Lighting and Fixtures Limited,Consumer Durables
FOODSIN,Foods & Inns Limited,Fast Moving Consumer Goods
FORCEMOT,FORCE MOTORS LTD,Automobile & Auto Components
FORTIS,Fortis Healthcare Limited,Healthcare
FOSECOIND,Foseco India Limited,Chemicals
FRACTAL,Fractal Analytics Limited,Information Technology
FSL,Firstsource Solutions Limited,Information Technology
FUSION,Fusion Finance Limited,Financial Services
GABRIEL,Gabriel India Limited,Automobile & Auto Components
GAEL,Gujarat Ambuja Exports Limited,Fast Moving Consumer Goods
GAIL,GAIL (India) Limited,"Oil, Gas & Consumable Fuels"
GALAPREC,Gala Precision Engineering Limited,Capital Goods
GALAXYSURF,Galaxy Surfactants Limited,Chemicals
GALLANTT,Gallantt Ispat Limited,Commodities
GANDHAR,Gandhar Oil Refinery (India) Limited,Chemicals
GANDHITUBE,Gandhi Special Tubes Limited,Capital Goods
GANECOS,Ganesha Ecosphere Limited,Textiles
GANESHBE,Ganesh Benzoplast Limited,Services
GANESHCP,Ganesh Consumer Products Limited,Fast Moving Consumer Goods
GANESHHOU,GANESH HOUSING LIMITED,Realty
GANGAFORGE,Ganga Forging Limited,Capital Goods
GANGESSECU,Ganges Securities Limited,Financial Services
GARFIBRES,Garware Technical Fibres Limited,Textiles
GARUDA,Garuda Construction and Engineering Limited,Construction
GATECH,GACM Technologies Limited,Information Technology
GATECHDVR,GACM Technologies Limited,Information Technology
GATEWAY,Gateway Distriparks Limited,Services
GAYAHWS,Gayatri Highways Limited,Construction
GCSL,Gretex Corporate Services Limited,Financial Services
GEECEE,GeeCee Ventures Limited,Financial Services
GEEKAYWIRE,Geekay Wires Limited,Capital Goods
GEMAROMA,Gem Aromatics Limited,Chemicals
GENCON,Generic Engineering Construction and Projects Limited,Construction
GENESYS,Genesys International Corporation Limited,Information Technology
GENUSPAPER,Genus Paper & Boards Limited,Commodities
GENUSPOWER,Genus Power Infrastructures Limited,Capital Goods
GEOJITFSL,Geojit Financial Services Limited,Financial Services
GESHIP,The Great Eastern Shipping Company Limited,Services
GFLLIMITED,GFL Limited,Chemicals
GHCL,GHCL Limited,Chemicals
GHCLTEXTIL,GHCL Textiles Limited,Textiles
GICHSGFIN,GIC Housing Finance Limited,Financial Services
GICL,Globe International Carriers Limited,Services
GICRE,General Insurance Corporation of India,Financial Services
GILLANDERS,Gillanders Arbuthnot & Company Limited,Diversified
GILLETTE,Gillette India Limited,Fast Moving Consumer Goods
GINNIFILA,Ginni Filaments Limited,Textiles - Cotton & Blended
GIPCL,Gujarat Industries Power Company Limited,Power Generation & Distribution
GKENERGY,GK Energy Limited,Renewable Energy (Solar Systems)
GKSL,Gujarat Kidney And Super Speciality Limited,Healthcare (Hospitals)
GKWLIMITED,GKW Limited,Logistics & Warehousing
GLAND,Gland Pharma Limited,Pharmaceuticals
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals
GLFL,Gujarat Lease Financing Limited,Financial Services (NBFC)
GLOBAL,Global Education Limited,Education & Training
GLOBALE,Globale Tessile Limited,Textiles
GLOBALVECT,Global Vectra Helicorp Limited,Aviation (Helicopter Services)
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,Textiles (Consumer Durables)
GLOBECIVIL,Globe Civil Projects Limited,Construction & Infrastructure
GLOBUSSPR,Globus Spirits Limited,Distilleries & Breweries
GLOSTERLTD,Gloster Limited,Textiles (Jute)
GLOTTIS,Glottis Limited,Logistics & Supply Chain
GMBREW,GM Breweries Limited,Breweries & Distilleries
GMDCLTD,Gujarat Mineral Development Corporation Limited,Mining & Minerals
GMMPFAUDLR,GMM Pfaudler Limited,Engineering (Industrial Equipment)
GMRAIRPORT,GMR AIRPORTS LIMITED,Infrastructure (Aviation)
GMRP&UI,GMR Power and Urban Infra Limited,Power & Infrastructure
GNA,GNA Axles Limited,Automobile & Ancillaries
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Fertilizers & Chemicals
GOACARBON,Goa Carbon Limited,Chemicals (Petrochemicals)
GOCLCORP,GOCL Corporation Limited,Energetics & Explosives
GOCOLORS,Go Fashion (India) Limited,Retail (Apparel)
GODAVARIB,Godavari Biorefineries Limited,Chemicals (Bio-based)
GODFRYPHLP,Godfrey Phillips India Limited,Tobacco & FMCG
GODIGIT,Go Digit General Insurance Limited,Insurance
GODREJAGRO,Godrej Agrovet Limited,Agriculture & Allied
GODREJCP,Godrej Consumer Products Limited,FMCG
GODREJIND,Godrej Industries Limited,Diversified (Chemicals/FMCG)
GODREJPROP,Godrej Properties Limited,Real Estate
GOKEX,Gokaldas Exports Limited,Textiles (Apparel)
GOKUL,Gokul Refoils and Solvent Limited,Edible Oils
GOKULAGRO,Gokul Agro Resources Limited,Edible Oils
GOLDENTOBC,Golden Tobacco Limited,Tobacco
GOLDIAM,Goldiam International Limited,"Gems, Jewellery & Luxury Goods"
GOLDTECH,AION-TECH SOLUTIONS LIMITED,IT - Software
GOODLUCK,Goodluck India Limited,Engineering (Steel Products)
GOPAL,Gopal Snacks Limited,FMCG (Food Products)
GOYALALUM,Goyal Aluminiums Limited,Metals & Mining (Aluminium)
GPIL,Godawari Power And Ispat limited,Iron & Steel
GPPL,Gujarat Pipavav Port Limited,Infrastructure (Ports)
GPTHEALTH,GPT Healthcare Limited,Healthcare (Hospitals)
GPTINFRA,GPT Infraprojects Limited,Construction & Infrastructure
GRANULES,Granules India Limited,Pharmaceuticals
GRAPHITE,Graphite India Limited,Carbon & Graphite Products
GRASIM,Grasim Industries Limited,Diversified (Textiles/Cement)
GRAVITA,Gravita India Limited,Non-Ferrous Metals (Lead)
GREAVESCOT,Greaves Cotton Limited,Engineering (Engines/Automotive)
GREENLAM,Greenlam Industries Limited,Building Materials (Laminates)
GREENPANEL,Greenpanel Industries Limited,Building Materials (Wood Panels)
GREENPLY,Greenply Industries Limited,Building Materials (Plywood)
GREENPOWER,Orient Green Power Company Limited,Renewable Energy
GRINDWELL,Grindwell Norton Limited,Engineering (Abrasives)
GRINFRA,G R Infraprojects Limited,Infrastructure (Roads/EPC)
GRMOVER,GRM Overseas Limited,FMCG (Agricultural Products)
GROBTEA,The Grob Tea Company Limited,Tea & Plantations
GROWW,Billionbrains Garage Ventures Limited,Fintech (Financial Services)
GRPLTD,GRP Limited,Rubber Products (Recycling)
GRSE,Garden Reach Shipbuilders & Engineers Limited,Defense & Shipbuilding
GRWRHITECH,Garware Hi-Tech Films Limited,Specialty Chemicals (Films)
GSFC,Gujarat State Fertilizers & Chemicals Limited,Fertilizers & Chemicals
GSLSU,Global Surfaces Limited,Building Materials (Quartz/Stone)
GSPL,Gujarat State Petronet Limited,Utilities (Natural Gas)
GSS,GSS Infotech Limited,IT - Software
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,IT - Education
GTL,GTL Limited,Telecommunications (Services)
GTLINFRA,GTL Infrastructure Limited,Telecommunication - Infrastructure
GTPL,GTPL Hathway Limited,Media & Entertainment (Cable/Broadband)
GUFICBIO,Gufic Biosciences Limited,Pharmaceuticals & Healthcare
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Chemicals
GUJAPOLLO,Gujarat Apollo Industries Limited,Engineering / Construction Equipment
GUJGASLTD,Gujarat Gas Limited,Utilities (City Gas Distribution)
GUJRAFFIA,Gujarat Raffia Industries Limited,Packaging (Polymers)
GUJTHEM,Gujarat Themis Biosyn Limited,Pharmaceuticals (Biotech)
GULFOILLUB,Gulf Oil Lubricants India Limited,Lubricants / Petrochemicals
GULFPETRO,GP Petroleums Limited,Lubricants / Petrochemicals
GULPOLY,Gulshan Polyols Limited,Chemicals (Specialty)
GVKPIL,GVK Power & Infrastructure Limited,Infrastructure / Power
GVPIL,GE Power India Limited,Engineering (Heavy) / Power
GVPTECH,GVP Infotech Limited,IT - Software
GVT&D,GE Vernova T&D India Limited,Capital Goods (Power T&D)
HAL,Hindustan Aeronautics Limited,Aerospace & Defense
HALDER,Halder Venture Limited,FMCG (Edible Oil/Agro)
HALEOSLABS,HALEOS LABS LIMITED,Healthcare / Life Sciences
HAPPSTMNDS,Happiest Minds Technologies Limited,IT Services & Consulting
HAPPYFORGE,Happy Forgings Limited,Auto Components / Forgings
HARDWYN,Hardwyn India Limited,Consumer Durables (Hardware)
HARIOMPIPE,Hariom Pipe Industries Limited,Iron & Steel Products
HARRMALAYA,Harrisons  Malayalam Limited,Plantation (Tea/Rubber)
HARSHA,Harsha Engineers International Limited,Engineering (Bearings)
HATHWAY,Hathway Cable & Datacom Limited,Media & Entertainment
HATSUN,Hatsun Agro Product Limited,FMCG (Dairy Products)
HAVELLS,Havells India Limited,Consumer Durables (Electricals)
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Hospitality / Tourism
HBLENGINE,HBL Engineering Limited,Engineering / Construction
HBSL,HB Stockholdings Limited,Finance / Investments
HCC,Hindustan Construction Company Limited,Construction & Infrastructure
HCG,Healthcare Global Enterprises Limited,Healthcare Services (Hospitals)
HCL-INSYS,HCL Infosystems Limited,IT - Hardware
HCLTECH,HCL Technologies Limited,IT Services & Consulting
HDBFS,HDB Financial Services Limited,NBFC / Finance
HDFCAMC,HDFC Asset Management Company Limited,Financial Services (AMC)
HDFCBANK,HDFC Bank Limited,Banking (Private)
HDFCLIFE,HDFC Life Insurance Company Limited,Insurance (Life)
HEADSUP,Heads UP Ventures Limited,Retail / Lifestyle
HECPROJECT,HEC Infra Projects Limited,Engineering / Infrastructure
HEG,HEG Limited,Graphite Electrodes / Industrial
HEIDELBERG,HeidelbergCement India Limited,Construction Materials (Cement)
HEMIPROP,Hemisphere Properties India Limited,Real Estate
HERANBA,Heranba Industries Limited,Chemicals (Agro)
HERITGFOOD,Heritage Foods Limited,FMCG (Dairy)
HEROMOTOCO,Hero MotoCorp Limited,Automobile (2-Wheelers)
HESTERBIO,Hester Biosciences Limited,Pharmaceuticals (Animal Health)
HEXATRADEX,Hexa Tradex Limited,Trading / Services
HEXT,Hexaware Technologies Limited,IT Services & Consulting
HFCL,HFCL Limited,Telecommunication - Equipment
HGINFRA,H.G. Infra Engineering Limited,Construction & Infrastructure
HGM,HandsOn Global Management (HGM) Limited,BPO / IT Enabled Services
HGS,Hinduja Global Solutions Limited,BPO / IT Enabled Services
HIKAL,Hikal Limited,Pharmaceuticals & Life Sciences
HILINFRA,Highway Infrastructure Limited,Infrastructure Development
HILTON,Hilton Metal Forging Limited,Industrial Equipment / Engineering
HIMATSEIDE,Himatsingka Seide Limited,Textiles & Home Furnishings
HINDALCO,Hindalco Industries Limited,Metals & Mining (Aluminium/Copper)
HINDCOMPOS,Hindustan Composites Limited,Auto Ancillaries (Brake Linings)
HINDCON,Hindcon Chemicals Limited,Specialty Chemicals (Construction)
HINDCOPPER,Hindustan Copper Limited,Metals & Mining (Copper)
HINDOILEXP,Hindustan Oil Exploration Company Limited,Oil & Gas Exploration
HINDPETRO,Hindustan Petroleum Corporation Limited,Oil & Gas (Refining & Marketing)
HINDUNILVR,Hindustan Unilever Limited,FMCG (Consumer Goods)
HINDWAREAP,Hindware Home Innovation Limited,Consumer Durables (Home Appliances)
HINDZINC,Hindustan Zinc Limited,Metals & Mining (Zinc/Lead)
HIRECT,Hind Rectifiers Limited,Electrical Equipment
HISARMETAL,Hisar Metal Industries Limited,Metals & Mining (Stainless Steel)
HITECH,Hi-Tech Pipes Limited,Steel Pipes & Tubes
HITECHCORP,Hitech Corporation Limited,Packaging
HITECHGEAR,The Hi-Tech Gears Limited,Auto Ancillaries (Gears)
HLEGLAS,HLE Glascoat Limited,Industrial Equipment (Glass-lined)
HLVLTD,HLV LIMITED,Hotels & Hospitality
HMAAGRO,HMA Agro Industries Limited,Consumer Food (Meat Exports)
HMT,HMT Limited,Industrial Equipment (Machine Tools)
HMVL,Hindustan Media Ventures Limited,Media & Publishing
HNDFDS,Hindustan Foods Limited,FMCG (Contract Manufacturing)
HOMEFIRST,Home First Finance Company India Limited,NBFC (Housing Finance)
HONASA,Honasa Consumer Limited,FMCG (Personal Care / Mamaearth)
HONAUT,Honeywell Automation India Limited,Industrial Automation
HONDAPOWER,Honda India Power Products Limited,Engineering (Power Products)
HPAL,HP Adhesives Limited,Specialty Chemicals (Adhesives)
HPIL,Hindprakash Industries Limited,Dyes & Chemicals
HPL,HPL Electric & Power Limited,Electrical Equipment
HSCL,Himadri Speciality Chemical Limited,Specialty Chemicals (Carbon)
HTMEDIA,HT Media Limited,Media & Publishing
HUBTOWN,Hubtown Limited,Real Estate
HUDCO,Housing & Urban Development Corporation Limited,Financial Services (Infra Finance)
HUHTAMAKI,Huhtamaki India Limited,Packaging
HYBRIDFIN,Hybrid Financial Services Limited,Financial Services
HYUNDAI,Hyundai Motor India Limited,Automobiles
IBULLSLTD,Indiabulls Limited,Financial Services / Real Estate
ICDSLTD,ICDS Limited,Financial Services
ICEMAKE,Ice Make Refrigeration Limited,Industrial Equipment (Refrigeration)
ICICIAMC,ICICI Prudential Asset Management Company Limited,Financial Services (Mutual Funds)
ICICIBANK,ICICI Bank Limited,Banking (Private)
ICICIGI,ICICI Lombard General Insurance Company Limited,Insurance (General)
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Insurance (Life)
ICIL,Indo Count Industries Limited,Textiles (Bed Linen)
ICRA,ICRA Limited,Financial Services (Credit Rating)
IDBI,IDBI Bank Limited,Banking
IDEA,Vodafone Idea Limited,Telecommunications
IDEAFORGE,Ideaforge Technology Limited,Aerospace & Defense (Drones)
IDFCFIRSTB,IDFC First Bank Limited,Banking (Private)
